symbol,mode,confirms,memory,min_r,atr_min,session,trades,WR_%,exp_R,PF,q_pass_%,score
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-13,167,45.51,0.365,1.58,20.0,7.51
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-12,137,45.26,0.358,1.53,20.0,7.26
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY08-12,142,45.07,0.352,1.52,20.0,7.07
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-13,150,44.67,0.34,1.5,20.0,6.67
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY07-16,184,44.57,0.337,1.53,20.0,6.57
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.9,NY08-13,155,44.52,0.335,1.5,20.0,6.52
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY07-16,206,44.17,0.325,1.51,20.0,6.17
EURJPY,RSI-gated,f_candle|f_ema,15,-,0.0,NY07-16,229,44.1,0.323,1.52,20.0,6.1
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-12,127,44.09,0.323,1.43,20.0,6.09
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY07-16,168,44.05,0.321,1.48,20.0,6.05
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.9,NY08-13,141,43.97,0.319,1.44,20.0,5.97
EURJPY,RSI-gated,f_candle|f_ema,10,-,0.0,NY08-12,132,43.94,0.318,1.42,20.0,5.94
EURJPY,OR,f_candle|f_ema,10,1,0.9,NY08-13,477,43.4,0.302,1.41,20.0,5.4
EURJPY,OR,f_candle|f_ema,10,1,0.9,NY08-12,440,43.86,0.316,1.42,0.0,-4.14
EURJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-12,475,43.16,0.295,1.39,0.0,-4.84
EURJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY08-13,515,43.11,0.293,1.39,0.0,-4.89
EURJPY,OR,f_candle|f_ema,10,1,0.9,NY07-16,595,41.51,0.245,1.31,0.0,-6.49
EURJPY,OR,f_rsi|f_candle|f_ema,10,1,0.9,NY07-16,646,41.02,0.231,1.28,0.0,-6.98
